tileid,mjd,expnum,exptime,dpos,target,ra,dec,pa
11111,60179,3582,10.0,0,None,0.0,0.0,180.0
11111,60179,3583,180.0,0,None,281.74285,-3.94386,241.41419982910156
11111,60179,3590,900.0,0,None,271.04198,-30.03403,178.81219482421875
11111,60179,3591,900.0,0,None,271.04197,-30.03395,178.82699584960938
11111,60179,3592,900.0,0,None,271.04196,-30.03395,178.8477020263672
11111,60179,3593,900.0,0,None,271.04197,-30.03391,178.872802734375
11111,60179,3594,60.0,0,Lagoon_2,271.5079,-24.0576,180.0
11111,60179,3595,900.0,0,Lagoon_2,271.50791,-24.05761,178.89190673828125
11111,60179,3596,900.0,0,M20W28_P6,270.24998,-23.28332,178.9364013671875
11111,60179,3597,900.0,0,M20W28_P6,270.24997,-23.2833,178.97230529785156
11111,60179,3599,900.0,0,M20W28_P6,270.25001,-23.28332,179.03309631347656
11111,60179,3601,900.0,0,SV_NGC6822_dither,296.24044,-14.80348,178.87269592285156
11111,60179,3602,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60179,3604,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60179,3605,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60179,3606,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60179,3608,900.0,0,Fornax1,54.24994,-35.83321,179.13099670410156
11111,60179,3609,900.0,0,Fornax1,54.25002,-35.83338,179.11239624023438
11111,60179,3610,900.0,0,Fornax1,54.25004,-35.83346,179.10450744628906
11111,60179,3611,900.0,0,Fornax2,50.50004,-37.33335,179.0290069580078
11111,60179,3612,900.0,0,Fornax2,50.50002,-37.33331,179.0164031982422
11111,60179,3613,900.0,0,Fornax2,50.50004,-37.33332,179.0133056640625
11111,60184,3912,900.0,0,DEM103,14.90734,-72.15811,179.0196990966797
11111,60184,3913,900.0,0,DEM103,14.90701,-72.15815,179.02029418945312
11111,60184,3914,900.0,0,DEM103,14.90705,-72.15816,178.98399353027344
11111,60184,3915,900.0,0,DEM103,14.90752,-72.15808,178.98350524902344
11111,60184,3916,900.0,0,DEM103,14.90701,-72.1582,178.97279357910156
11111,60184,3917,900.0,0,DEM103,14.90836,-72.15814,178.9875946044922
11111,60184,3919,900.0,0,NGC1316,50.67376,-37.2083,178.8780975341797
11111,60184,3920,900.0,0,NGC1316,50.67379,-37.20829,178.8636932373047
11111,60184,3921,900.0,0,NGC1316,50.6738,-37.20831,178.85169982910156
11111,60184,3922,900.0,0,NGC1365,53.40174,-36.14026,178.8256072998047
11111,60184,3923,900.0,0,NGC1365,53.40174,-36.14024,178.81649780273438
11111,60184,3924,900.0,0,NGC1365,53.40176,-36.14021,178.8076934814453
11111,60185,3954,60.0,0,arc,0.0,0.0,180.0
11111,60185,3955,60.0,0,arc,0.0,0.0,180.0
11111,60185,3961,900.0,0,SV_NGC6822_dither,296.24042,-14.80343,178.7299041748047
11111,60185,3962,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3963,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3964,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3965,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3966,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3967,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3968,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3969,900.0,0,SV_NGC6822_dither,0.0,0.0,180.0
11111,60185,3971,900.0,0,DEM103,14.90824,-72.15795,179.06849670410156
11111,60185,3972,900.0,0,DEM103,14.90782,-72.15796,179.06570434570312
11111,60186,3984,900.0,0,NGC6388,264.07082,-44.73555,178.86050415039062
11111,60186,3985,900.0,0,NGC6388,264.07081,-44.73556,178.87210083007812
11111,60186,3986,900.0,0,NGC6388,264.07081,-44.73553,178.8748016357422
11111,60186,3987,900.0,0,NGC6388,264.07087,-44.73554,178.9322052001953
11111,60186,3988,60.0,0,Lagoon1,271.10379,-24.27666,178.86520385742188
11111,60186,3989,900.0,0,Lagoon1,271.10378,-24.27664,178.88490295410156
11111,60186,3990,60.0,0,Lagoon1,271.10381,-24.27667,178.9167938232422
11111,60186,3991,900.0,0,Lagoon1,271.10379,-24.27673,178.95309448242188
11111,60186,4019,60.0,0,arc,0.0,0.0,180.0
11111,60186,4020,60.0,0,arc,0.0,0.0,180.0
11111,60187,4068,60.0,0,arc,0.0,0.0,180.0
11111,60187,4069,60.0,0,arc,0.0,0.0,180.0
11111,60187,4091,900.0,0,RCW120,258.07219,-38.40056,178.8177947998047
11111,60187,4092,900.0,0,RCW120,258.07217,-38.40056,178.8509063720703
11111,60187,4105,900.0,0,AV255,15.17513,-71.51996,178.89810180664062
11111,60187,4106,900.0,0,AV255,15.17513,-71.51997,178.89450073242188
11111,60187,4107,900.0,0,AV255,15.17513,-71.51997,178.89210510253906
11111,60187,4115,900.0,0,IC1613,16.20003,2.11769,178.62399291992188
11111,60187,4116,900.0,0,IC1613,16.2,2.11774,178.63400268554688
11111,60187,4117,900.0,0,IC1613,16.20003,2.11777,178.64450073242188
11111,60188,4153,60.0,0,arc,0.0,0.0,180.0
11111,60188,4154,60.0,0,arc,0.0,0.0,180.0
11111,60188,4161,900.0,0,NGC1427a,55.03872,-35.62436,179.0041046142578
11111,60188,4162,900.0,0,NGC1427a,55.03882,-35.62445,178.98190307617188
11111,60188,4163,900.0,0,NGC1427a,55.03887,-35.62448,178.96859741210938
11111,60188,4164,900.0,0,NGC1316,50.67377,-37.2083,178.91529846191406
11111,60188,4165,900.0,0,NGC1316,50.67377,-37.20832,178.89239501953125
11111,60188,4166,900.0,0,NGC1316,50.67376,-37.20831,178.8668975830078
11111,60188,4167,900.0,0,NGC1316,50.67374,-37.20827,178.8437957763672
11111,60189,4199,60.0,0,arc,0.0,0.0,180.0
11111,60189,4200,60.0,0,arc,0.0,0.0,180.0
11111,60192,4333,60.0,0,M24,269.8838,-23.3863,180.0
11111,60192,4334,900.0,0,M24,269.88379,-23.38631,178.80990600585938
11111,60192,4335,900.0,0,M20W28_P6,270.25,-23.28333,178.84300231933594
11111,60192,4336,900.0,0,M20W28_P6,270.25001,-23.28333,178.87539672851562
11111,60192,4337,900.0,0,M20W28_P6,270.25001,-23.28333,178.9084930419922
11111,60192,4338,60.0,0,M23,270.2559,-23.1873,180.0
11111,60192,4339,900.0,0,M23,270.25592,-23.18731,178.95590209960938
11111,60192,4340,900.0,0,NGC253,11.88788,-25.28829,178.93890380859375
11111,60192,4341,900.0,0,NGC253,11.8879,-25.28835,178.90719604492188
11111,60192,4342,900.0,0,NGC253,11.88792,-25.28833,178.87789916992188
11111,60192,4343,900.0,0,NGC1365,53.40161,-36.14025,179.05709838867188
11111,60192,4344,900.0,0,NGC1365,53.40169,-36.14026,179.0482940673828
11111,60192,4345,900.0,0,NGC1365,53.40167,-36.14027,179.03570556640625
11111,60192,4346,900.0,0,NGC1365,53.40169,-36.14026,179.01190185546875
11111,60192,4347,900.0,0,NGC1365,53.40165,-36.14028,178.9893035888672
11111,60192,4348,900.0,0,NGC1365,53.40169,-36.14027,178.97300720214844
11111,60193,4351,900.0,0,OmegaCen,201.69699,-47.47953,179.0133056640625
11111,60193,4379,900.0,0,NGC253,11.8879,-25.28831,178.79209899902344
11111,60193,4382,900.0,0,NGC253,11.88792,-25.28833,180.0
11111,60194,4412,60.0,0,M24_60s,269.8838,-23.3863,180.0
11111,60194,4413,60.0,0,M24_60s,269.8838,-23.3863,180.0
11111,60194,4414,60.0,0,M24_60s,269.8838,-23.3863,180.0
11111,60194,4415,900.0,0,M24_900s,269.8838,-23.38633,178.8101043701172
11111,60194,4416,900.0,0,M24_900s,269.88381,-23.38629,178.84689331054688
11111,60194,4417,60.0,0,M23_60s,270.2559,-23.1873,180.0
11111,60194,4418,60.0,0,M23_60s,270.2559,-23.1873,180.0
11111,60194,4419,60.0,0,M23_60s,270.2559,-23.1873,180.0
11111,60194,4420,900.0,0,M23_900s,270.25592,-23.18728,178.893798828125
11111,60194,4421,900.0,0,M23_900s,270.25592,-23.18729,178.93389892578125
11111,60194,4422,900.0,0,M23_900s,270.25591,-23.18731,178.97610473632812
11111,60200,4655,60.0,0,tile_id=999,5.3535,-73.29657,179.02499389648438
11111,60200,4657,60.0,0,tile_id=999,5.35343,-73.29657,179.0561981201172
11111,60200,4658,60.0,1,tile_id=999,5.35354,-73.29656,180.0
11111,60200,4659,60.0,2,tile_id=999,0.0,0.0,180.0
11111,60202,4854,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4855,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4856,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4857,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4858,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4859,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,4860,20.0,0,Pointing_accuracy Gaia DR3 6698960688866464768 100pt dither,300.08506,-33.70474,180.0
11111,60202,5006,900.0,0,S308_P1,103.46241,-24.04457,114.38520050048828
11111,60202,5007,900.0,0,S308_P1,103.4625,-24.04465,114.34970092773438
11111,60202,5008,900.0,0,S308_P1,103.46252,-24.04467,114.31890106201172
11111,60203,5021,60.0,0,M21,270.25795,-23.58282,178.7677001953125
11111,60203,5022,60.0,0,M21,270.25805,-23.58285,178.77139282226562
11111,60203,5023,60.0,0,M21,270.25798,-23.58278,178.77549743652344
11111,60203,5024,900.0,0,M21,270.25799,-23.58277,178.79429626464844
11111,60203,5025,900.0,0,M21,270.25799,-23.5828,178.82620239257812
11111,60203,5026,900.0,0,M21,270.25797,-23.5828,178.86270141601562
11111,60204,5089,900.0,0,AV255,15.17461,-71.51994,179.006103515625
11111,60204,5090,900.0,0,AV255,15.17491,-71.52,179.00059509277344
11111,60204,5091,900.0,0,AV255,15.17471,-71.51998,178.99380493164062
11111,60206,5206,900.0,0,AV255,15.17506,-71.52,180.00259399414062
11111,60206,5207,900.0,0,AV255,15.17497,-71.52,179.98480224609375
11111,60206,5208,900.0,0,AV255,15.17496,-71.52,179.9788055419922
11111,60206,5209,900.0,0,IC1613,16.19999,2.11779,179.93280029296875
11111,60206,5210,900.0,0,IC1613,16.2,2.11777,179.88279724121094
11111,60206,5211,900.0,0,IC1613,16.2,2.11776,179.835205078125
11111,60206,5253,900.0,0,S308_P1,103.46252,-24.04462,115.25990295410156
11111,60207,5294,900.0,0,IC1613,16.19993,2.11764,180.00819396972656
11111,60207,5295,900.0,0,IC1613,16.2,2.11776,180.0447998046875
11111,60207,5296,900.0,0,IC1613,16.2,2.11775,180.0177001953125
11111,60207,5298,900.0,0,S308_P2,103.72497,-23.69185,115.26809692382812
11111,60207,5299,900.0,0,S308_P2,103.725,-23.69188,115.23139953613281
11111,60208,5351,900.0,0,IC1613,16.2,2.11771,179.97230529785156
11111,60208,5352,900.0,0,IC1613,16.19999,2.11775,179.98240661621094
11111,60208,5353,900.0,0,IC1613,16.19999,2.11774,180.00210571289062
11111,60208,5356,900.0,0,NGC1978,82.18336,-66.23638,180.0019073486328
11111,60208,5357,900.0,0,NGC1978,82.18334,-66.2364,179.99429321289062
11111,60208,5358,900.0,0,NGC1978,82.18335,-66.23641,179.99310302734375
11111,60208,5359,900.0,0,S308_P3,103.26248,-23.65679,115.25810241699219
11111,60208,5360,900.0,0,S308_P3,103.26249,-23.6568,115.23660278320312
11111,60208,5361,900.0,0,S308_P3,103.2625,-23.65681,115.20570373535156
11111,60208,5362,300.0,0,S308_P4,103.92918,-24.07911,115.25140380859375
11111,60212,5511,900.0,0,M33low,23.39818,30.54888,179.8647003173828
11111,60212,5512,900.0,0,M33up,23.51873,30.72948,179.8939971923828
11111,60212,5513,900.0,0,M33low,23.3982,30.54882,179.86849975585938
11111,60212,5514,900.0,0,M33up,23.5187,30.72949,179.8551025390625
11111,60217,5825,60.0,0,M20,270.63006,-23.38261,180.0012969970703
11111,60217,5826,60.0,0,M20,270.63013,-23.38282,179.99420166015625
11111,60217,5827,60.0,0,M20,270.63016,-23.38281,179.99609375
11111,60217,5828,900.0,0,M20,270.63009,-23.38289,180.00079345703125
11111,60217,5829,900.0,0,M20,270.63009,-23.38289,180.018798828125
11111,60217,5830,900.0,0,M20,270.6301,-23.38289,180.0428009033203
11111,60222,6100,900.0,0,NGC1365,53.40164,-36.14025,180.44410705566406
11111,60222,6101,900.0,0,NGC1365,53.40548,-36.13507,180.40750122070312
11111,60222,6102,900.0,0,NGC1365,53.39797,-36.13502,180.3907928466797
11111,60222,6103,900.0,0,NGC1365,53.40163,-36.1438,180.3592071533203
11111,60222,6104,900.0,0,NGC1365,53.3979,-36.14202,180.33949279785156
11111,60222,6105,900.0,0,NGC1365,53.40541,-36.14206,180.31480407714844
11111,60222,6106,900.0,0,NGC1365,53.39793,-36.13852,180.30599975585938
11111,60222,6107,900.0,0,NGC1365,53.40543,-36.13855,180.28680419921875
11111,60222,6108,900.0,0,NGC1365,53.40168,-36.13679,180.27760314941406
11111,60223,6167,900.0,0,S308_P4,103.92915,-24.07912,178.8831024169922
11111,60223,6168,900.0,0,S308_P4,103.92916,-24.07912,178.85409545898438
11111,60223,6169,900.0,0,S308_P4,103.92916,-24.07911,178.8249053955078
11111,60224,6241,900.0,0,S308_P4,103.92916,-24.07912,115.8843002319336
11111,60224,6243,900.0,0,S308_P1,103.4625,-24.04465,115.8467025756836
11111,60224,6244,900.0,0,S308_P1,103.46249,-24.04465,115.81839752197266
11111,60224,6245,900.0,0,S308_P1,103.46249,-24.04465,115.79019927978516
11111,60225,6320,900.0,0,NGC628,24.17399,15.78361,180.0303955078125
11111,60225,6321,900.0,0,NGC628,24.17393,15.78715,180.03109741210938
11111,60225,6322,900.0,0,NGC628,24.1771,15.78889,180.0373992919922
11111,60225,6323,900.0,0,NGC628,24.17709,15.78542,180.05799865722656
11111,60225,6324,900.0,0,NGC628,24.17711,15.78192,180.0966033935547
11111,60225,6325,900.0,0,NGC628,24.17392,15.78014,180.1510009765625
11111,60225,6326,900.0,0,NGC628,24.17077,15.78191,180.22610473632812
11111,60225,6327,900.0,0,NGC628,24.17079,15.7854,180.3043975830078
11111,60225,6328,900.0,0,NGC628,24.17084,15.78893,180.38839721679688
11111,60226,6365,900.0,0,S308_P3,103.26248,-23.65678,115.64450073242188
11111,60226,6366,900.0,0,S308_P3,103.26249,-23.6568,115.60970306396484
11111,60226,6372,900.0,0,S308_P3,103.2625,-23.65679,115.52189636230469
11111,60228,6419,60.0,0,Lagoon,271.09843,-23.84827,180.3341064453125
11111,60228,6420,60.0,0,Lagoon,271.09853,-23.848,180.34129333496094
11111,60228,6421,900.0,0,Lagoon,271.09859,-23.84792,180.36770629882812
11111,60228,6422,900.0,0,Lagoon,271.09862,-23.84788,180.4031982421875
11111,60228,6423,60.0,0,Lagoon,270.69453,-24.06594,180.42599487304688
11111,60228,6424,60.0,0,Lagoon,270.69451,-24.06592,180.4311065673828
11111,60228,6425,900.0,0,Lagoon,270.69452,-24.06588,180.4517059326172
11111,60228,6426,900.0,0,Lagoon,270.69451,-24.06589,180.49049377441406
11111,60229,6537,900.0,0,Fornax3,54.31245,-35.34997,180.47740173339844
11111,60229,6538,900.0,0,Fornax3,54.3125,-35.34998,180.46929931640625
11111,60229,6539,900.0,0,Fornax3,54.31253,-35.35,180.45700073242188
11111,60229,6558,10.0,0,OrionTest10,83.82,-5.39,180.0
11111,60229,6559,10.0,0,OrionTest10,83.82,-5.39,180.0
11111,60229,6560,10.0,0,OrionTest10,83.82,-5.39,180.0
11111,60229,6561,20.0,0,OrionTest20,83.82,-5.39,180.0
11111,60229,6562,20.0,0,OrionTest20,83.82,-5.39,180.0
11111,60229,6563,20.0,0,OrionTest20,83.82,-5.39,180.0
11111,60229,6564,30.0,0,OrionTest30,83.82,-5.39,180.0
11111,60229,6565,30.0,0,OrionTest30,83.82,-5.39,180.0
11111,60229,6566,40.0,0,OrionTest40,83.82,-5.39,180.0
11111,60229,6567,40.0,0,OrionTest40,83.82,-5.39,180.0
11111,60230,6570,900.0,0,HR1544,72.65291,8.91044,180.0034942626953
11111,60230,6571,900.0,0,LTT2415,89.1013,-27.84771,180.18850708007812
11111,60230,6572,900.0,0,HD49798,102.01941,-44.30618,180.29110717773438
11111,60230,6573,900.0,0,HD60753,113.36368,-50.57406,180.35800170898438
11111,60231,6585,60.0,0,Lagoon_m1,271.2999,-24.15015,180.27940368652344
11111,60231,6586,60.0,0,Lagoon_m1,271.29997,-24.15005,180.28529357910156
11111,60231,6587,900.0,0,Lagoon_m1,271.3,-24.15001,180.30470275878906
11111,60231,6588,900.0,0,Lagoon_m1,271.3,-24.14999,180.33799743652344
11111,60231,6589,900.0,0,NGC253_PA0,11.8879,-25.28827,180.34730529785156
11111,60231,6590,900.0,0,NGC253_PA15,11.88792,-25.28834,165.30270385742188
11111,60232,6657,60.0,0,Lagoon_m2,270.89993,-24.15039,180.27639770507812
11111,60232,6658,60.0,0,Lagoon_m2,270.89996,-24.15017,180.28460693359375
11111,60232,6659,900.0,0,Lagoon_m2,270.89999,-24.15006,180.31109619140625
11111,60232,6660,900.0,0,Lagoon_m2,270.89999,-24.15,180.3480987548828
11111,60232,6705,900.0,0,HD60753,113.36368,-50.57403,180.44189453125
11111,60232,6706,900.0,0,HD60753,113.3637,-50.57406,180.43310546875
11111,60232,6707,900.0,0,HD60753,113.36374,-50.57408,180.4813995361328
11111,60235,6812,900.0,0,NGC253_PA0,11.88795,-25.28831,179.98519897460938
11111,60235,6813,900.0,0,NGC253_PA15,11.88794,-25.28832,195.0093994140625
11111,60235,6817,900.0,0,S308_P5,103.54167,-23.93336,179.94720458984375
11111,60235,6818,900.0,0,S308_P5,103.54168,-23.93336,179.9217987060547
11111,60235,6819,900.0,0,S308_P5,103.54166,-23.93335,179.90150451660156
11111,60236,6838,60.0,0,Lagoon_m3,271.09992,-24.50008,178.8188018798828
11111,60236,6839,60.0,0,Lagoon_m3,271.10003,-24.49995,178.8238983154297
11111,60236,6840,900.0,0,Lagoon_m3,271.09998,-24.49999,178.83889770507812
11111,60236,6841,900.0,0,Lagoon_m3,271.1,-24.50001,178.87539672851562
11111,60236,6842,60.0,0,Lagoon_2,271.5079,-24.05758,179.9633026123047
11111,60236,6843,900.0,0,Lagoon_2,271.5079,-24.0576,179.981201171875
11111,60236,6861,900.0,0,HR1996,86.4997,-32.29622,180.0030059814453
11111,60236,6862,900.0,0,HD60753,113.36357,-50.57405,179.99119567871094
11111,60236,6863,900.0,0,HD60753,113.3495,-50.5895,179.98809814453125
11111,60236,6864,900.0,0,HD60753,113.34955,-50.56892,180.05189514160156
11111,60236,6865,900.0,0,HD60753,113.34953,-50.5998,179.98440551757812
11111,60237,6866,100.0,0,HR9087_hiding,0.4559,-3.02771,179.99330139160156
11111,60237,6867,100.0,0,HR9087_hiding,0.45892,-3.02244,179.99009704589844
11111,60237,6868,100.0,0,HR9087_hiding,0.45285,-3.02229,180.00619506835938
11111,60237,6869,100.0,0,HR9087_hiding,0.45287,-3.03279,179.9866943359375
11111,60237,6870,100.0,0,HR9087_hiding,0.45897,-3.03276,179.98699951171875
11111,60237,6871,100.0,0,HR9087_hiding,0.45591,-3.02753,179.7238006591797
11111,60237,6872,100.0,0,HR9087_hiding,0.45891,-3.02234,179.73849487304688
11111,60237,6873,100.0,0,HR9087_hiding,0.45285,-3.02229,179.75259399414062
11111,60237,6874,100.0,0,HR9087_hiding,0.45292,-3.03281,179.7498016357422
11111,60237,6875,100.0,0,HR9087_hiding,0.45896,-3.03272,179.75259399414062
11111,60237,6876,300.0,0,HR1996_hiding,86.49962,-32.30638,179.6697998046875
11111,60237,6877,300.0,0,HR1996_hiding,86.5032,-32.30122,179.65699768066406
11111,60237,6878,300.0,0,HR1996_hiding,86.49603,-32.30126,179.65159606933594
11111,60237,6879,900.0,0,HD49798,102.01933,-44.30619,179.9906005859375
11111,60237,6880,900.0,0,HD49798,102.01933,-44.30619,179.97219848632812
11111,60237,6881,900.0,0,HD49798,102.01933,-44.3062,179.9550018310547
11111,60237,6882,900.0,0,HD49798,101.90719,-44.17768,179.96009826660156
11111,60237,6883,900.0,0,HD60753,113.2374,-50.44553,180.00570678710938
11111,60237,6885,900.0,0,HD60753,113.23735,-50.44556,179.9844970703125
11111,60237,6886,900.0,0,HILT600,101.30555,2.14754,179.95750427246094
11111,60255,7337,900.0,0,S308_P2,103.72502,-23.69186,244.68150329589844
11111,60255,7338,900.0,0,S308_P2,103.72502,-23.6919,244.66600036621094
11111,60259,7553,900.0,0,IRDC_grid102,68.76566,-14.24702,179.9250946044922
11111,60259,7554,900.0,0,IRDC_grid125,85.80036,-1.27415,179.9575958251953
11111,60259,7555,900.0,0,IRDC_grid182,125.29635,-49.86517,179.96580505371094
11111,60259,7556,900.0,0,S308_P6,103.64584,-24.10925,244.67529296875
11111,60259,7557,900.0,0,S308_P6,103.64584,-24.10924,244.6519012451172
11111,60259,7558,900.0,0,NGC3199,154.38314,-57.91372,178.95770263671875
11111,60259,7559,900.0,0,NGC3199,154.38317,-57.91373,178.94749450683594
11111,60259,7560,900.0,0,NGC3199,154.3832,-57.91374,178.93739318847656
11111,60259,7561,900.0,0,NGC3199,154.3832,-57.91373,178.92469787597656
11111,60259,7562,900.0,0,NGC3199,154.38322,-57.91373,178.9116973876953
11111,60259,7563,900.0,0,NGC3199,154.38321,-57.91374,178.90289306640625
11111,60261,7622,900.0,0,IRDC_grid114,76.69263,-3.343,179.82870483398438
11111,60261,7623,900.0,0,Fornax3,54.31255,-35.35006,179.99229431152344
11111,60261,7624,900.0,0,Fornax3,54.31251,-35.35,179.97169494628906
11111,60261,7625,900.0,0,Fornax3,54.3125,-35.35,179.94520568847656
11111,60261,7630,900.0,0,IRDC_grid102,68.76569,-14.24704,179.95140075683594
11111,60261,7631,900.0,0,IRDC_grid124,85.25675,-8.72176,179.90170288085938
11111,60261,7632,900.0,0,IRDC_grid125,85.80022,-1.27421,179.9145965576172
11111,60261,7633,900.0,0,IRDC_grid114,76.6925,-3.34312,179.9687042236328
11111,60261,7635,900.0,0,IRDC_grid158,111.04794,-25.82638,179.95770263671875
11111,60261,7636,900.0,0,IRDC_grid182,125.29636,-49.86519,179.98150634765625
11111,60266,7921,900.0,0,NGC3199,154.38315,-57.91372,209.9792938232422
